Model,Data,Train MSE,Train R2,Test MSE,Test R2
Linear Regression,cid,0.6814852708134158,0.0001731901036069461,0.6399996865258548,-0.006177237760710774
Linear Regression,mw,0.6283799986195268,0.07808547546073685,0.5927275415922008,0.06814179272282461
Linear Regression,polararea,0.6752244122586079,0.009358677309507346,0.642285765833297,-0.009771303525571318
Linear Regression,complexity,0.6399445583864294,0.06111877435243929,0.6157827972907262,0.03189541013389807
Linear Regression,xlogp,0.6542776741325884,0.04009024445442255,0.5972036363407219,0.06110468826036741
Linear Regression,heavycnt,0.6251481258461079,0.08282704975944699,0.6010483395456978,0.05506022772040742
Linear Regression,hbonddonor,0.6813025498209807,0.0004412653721295179,0.6375879697596422,-0.002385650725314381
Linear Regression,hbondacc,0.6600955285610076,0.0315547014533758,0.6336217541210242,0.0038498459157714215
Linear Regression,rotbonds,0.6562761308463082,0.03715825063684597,0.6231532810151775,0.020307884216369088
Linear Regression,exactmass,0.6283840523052026,0.07807952818088926,0.59276935134114,0.06807606141297429
Linear Regression,monoisotopicmass,0.6283885532544548,0.07807292470767402,0.5929042419774629,0.06786399273432853
Linear Regression,charge,0.674651623940895,0.010199031666339176,0.6441603091264104,-0.012718371832692421
Linear Regression,covalentunitcnt,0.681603317762638,0.0,0.6413045196059676,-0.0082286346159397
Linear Regression,isotopeatomcnt,0.681603317762638,0.0,0.6413045196059676,-0.0082286346159397
Linear Regression,totalatomstereocnt,0.6680480172201795,0.01988737464916357,0.6386255302273889,-0.004016854220294519
Linear Regression,definedatomstereocnt,0.681603317762638,0.0,0.6413045196059676,-0.0082286346159397
Linear Regression,undefinedatomstereocnt,0.6680480172201795,0.01988737464916357,0.6386255302273889,-0.004016854220294519
Linear Regression,totalbondstereocnt,0.6791638775512575,0.0035789734994072786,0.6398962437070155,-0.0060146098533582215
Linear Regression,definedbondstereocnt,0.6809200063853781,0.0010025059436372663,0.6414913782167384,-0.008522404886137425
Linear Regression,undefinedbondstereocnt,0.6797807210940203,0.0026739844439143123,0.6396757269464217,-0.005667923831903066
Linear Regression,pclidcnt,0.6696681610510823,0.01751041463637948,0.634923010670635,0.0018040719126422022
Linear Regression,gpidcnt,0.6699832839609836,0.017048088673918382,0.6562064878756453,-0.03165680432673268
Linear Regression,gpfamilycnt,0.662128270084823,0.02857240739634581,0.6588605626125433,-0.03582941510108917
Linear Regression,annothitcnt,0.6723852434127782,0.0135241042841725,0.6465521337152225,-0.016478685327598663
